time_s,resultant
220.94,0.756394513
220.95,0.807079204
220.96,1.005654405
220.97,0.794064617
220.98,0.684887411
220.99,0.634914558
221,0.600700253
221.01,0.565972391
221.02,0.449868646
221.03,0.266959019
221.04,0.16901835
221.05,0.186444973
221.06,0.337637013
221.07,0.477450185
221.08,0.652495009
221.09,0.863719636
221.1,1.07191156
221.11,1.158691995
221.12,1.173890341
221.13,1.204108733
221.14,1.061160916
221.15,0.805171004
221.16,0.725064237
221.17,0.780049904
221.18,0.853314549
221.19,0.957700318
221.2,1.024667618
221.21,1.03153646
221.22,0.895324593
221.23,0.226960941
221.24,2.368627688
221.25,2.571169203
221.26,1.091573383
221.27,0.630648305
221.28,0.900988188
221.29,1.099488966
221.3,1.723516047
221.31,1.052657915
221.32,0.820262728
221.33,0.981690666
221.34,0.921552303
221.35,0.707828142
221.36,0.498485229
221.37,0.399794378
221.38,0.375645855
221.39,0.351704921
221.4,0.26193948
221.41,0.148022939
221.42,0.068767962
221.43,0.160388436
221.44,0.315147997
221.45,0.598709421
221.46,0.910031033
221.47,1.107414029
221.48,1.2397699
221.49,1.448211446
221.5,1.523942738
221.51,1.436753722
221.52,1.226741498
221.53,0.934248865
221.54,0.712344388
221.55,0.565423303
221.56,0.664288924
221.57,0.911915673
221.58,1.012380551
221.59,0.900780547
221.6,0.252811941
221.61,1.892063855
221.62,3.161050653
221.63,1.649187575
221.64,0.485816503
221.65,0.962974679
221.66,0.835061091
221.67,2.203321933
221.68,1.159983592
221.69,0.703112069
221.7,1.159793072
221.71,1.138885566
221.72,0.811033522
221.73,0.674747438
221.74,0.625050803
221.75,0.566738926
221.76,0.481401096
221.77,0.355642146
221.78,0.176174754
221.79,0.117296305
221.8,0.248678172
221.81,0.418110217
221.82,0.596162691
221.83,0.784715929
221.84,0.993180608
221.85,1.120378787
221.86,1.229825295
221.87,1.343481681
221.88,1.287066358
221.89,1.022583703
221.9,0.705649981
221.91,0.538124923
221.92,0.700668504
221.93,0.890143108
221.94,1.042374813
221.95,1.126557726
221.96,1.079472074
221.97,0.652681103
221.98,1.254236405
221.99,3.800519489
222,1.584568077
222.01,0.620540954
222.02,0.381051317
222.03,0.734889052
222.04,1.535288122
222.05,1.176663589
222.06,0.847512072
222.07,0.828949115
222.08,0.768643132
222.09,0.606974208
222.1,0.537674945
222.11,0.539727959
222.12,0.497685093
222.13,0.419239716
222.14,0.266272276
222.15,0.111799048
222.16,0.131502356
222.17,0.255650929
222.18,0.464775591
222.19,0.648597292
222.2,0.848668186
222.21,1.081402493
222.22,1.326020736
222.23,1.530549444
222.24,1.611940087
222.25,1.535453361
222.26,1.257409789
222.27,0.820821771
222.28,0.467773102
222.29,0.402254002
222.3,0.591186593
222.31,0.927611027
222.32,1.116262614
222.33,1.128900352
222.34,0.758117364
222.35,0.937343919
222.36,2.531524381
222.37,2.475426212
222.38,1.073111104
222.39,0.650606526
222.4,0.643123394
222.41,1.475516138
222.42,1.770391241
222.43,0.891297957
222.44,0.641124172
222.45,0.768655101
222.46,0.851311041
222.47,0.852213689
222.48,0.750743946
222.49,0.677685689
222.5,0.576328737
222.51,0.409605178
222.52,0.262946789
222.53,0.240417445
222.54,0.214219042
222.55,0.286500401
222.56,0.46419555
222.57,0.627091308
222.58,0.77272024
222.59,0.886207084
222.6,0.96115273
222.61,1.016154381
222.62,0.946340129
222.63,0.824519493
222.64,0.734839363
222.65,0.874035797
222.66,1.025451001
222.67,1.070730922
222.68,1.10821535
222.69,1.16996608
222.7,1.202522218
222.71,0.983447884
222.72,0.229118532
222.73,2.517961022
222.74,2.567726682
222.75,1.823960789
222.76,0.879973262
222.77,0.602961036
222.78,1.063442129
222.79,1.286004771
222.8,1.04833351
222.81,0.99179318
222.82,0.972820689
222.83,0.758920949
222.84,0.475250374
222.85,0.361256088
222.86,0.39703296
222.87,0.412118591
222.88,0.377203832
222.89,0.260000943
222.9,0.059894214
222.91,0.183811994
222.92,0.323331819
222.93,0.479119685
222.94,0.69750381
